code,pop,name,rho,spring,autumn,summer,winter,unknown,Salinity,Notes,AF,secchi,lon,lat
A_Kalix_Baltic_Spring,A_Kalix_Baltic_Spring,AKalix,Y,Y,,,,,3,,1,4.46273713170849,23.143965,65.855281
HWS6_Balsfjord_Atlantic,,Balsfjord,N,,,,,Y,3,,0,3.48335751070484,18.201503,69.498719
HWS2_PechoraSea_BarentsSea,,BarentsSea,,,,,,,3,,0,3.48335751070484,37.106368,74.988392
,,Bergen,,Y,,,,,35,,NA,9.05971145629883,10.25,64.866667
HGS12_BornholmBasin_Baltic_Autumn,HGS12_BornholmBasin_Baltic_Autumn,Bornholm,Y,,Y,,,,3,,0.05,6.61408553162592,14.93829,55.227033
B_Vaxholm_Baltic_Spring,B_Vaxholm_Baltic_Spring,BVaxholm,Y,Y,,,,,6,,0.805555555555556,5.9145041979528,18.32638,59.403297
HGS22_CapeWrath_Atlantic_Autumn,,CapeWrath_autumn,,,Y,,,,35,,0,9.05971145629883,-4.998483,58.628344
HGS20_CapeWrath_Atlantic_Spring,,CapeWrath_Spring,N,Y,,,,,35,,0,9.05971145629883,-4.989853,58.626212
HGS18_CelticSea_Atlantic_AutumnWinter,,CelticSea,N,,Y,,Y,,35,,0,9.05971145629883,-8.909912,51.330612
PN3_CentralBaltic_Baltic_Spring,PN3_CentralBaltic_Baltic_Spring,CentralBaltic,Y,Y,,,,,8,,0.763157894736842,6.38655690496404,15.85,55.4
HGS23_Clyde_Atlantic_Spring,,Clyde,N,Y,,,,,35,,0,9.05971145629883,-4.933255,55.525399
Canadian_Atlantic_1,DalBoB_Atlantic_Autumn,DalBob,Y,,Y,,,,35,,0,9.05971145629883,-53.333333,48.816667
Canadian_Atlantic_2,DalFB_Atlantic_Spring,DalFB,Y,Y,,,,,35,,0,9.05971145629883,-55.633333,47.283333
Canadian_Atlantic_3,DalGeB_Atlantic_Autumn,DalGeB,Y,,Y,,,,35,,0,9.05971145629883,-66.3,43.266667
Canadian_Atlantic_4,DalInB_Atlantic_Spring,DalInB,Y,Y,,,,,35,,0,9.05971145629883,-65.85,48
Canadian_Atlantic_5,DalNsF_Atlantic_Autumn,DalNsF,Y,,Y,,,,35,,0,9.05971145629883,-62.6,45.733333
Canadian_Atlantic_6,DalNsS_Atlantic_Spring,DalNsS,Y,Y,,,,,35,,0,9.05971145629883,-64.15,46.316667
HGS10_Downs_EnglishChannel_Winter,,Downs_EnglishChannel,,,,,Y,,35,,0,9.05971145629883,-0.357056,50.134664
PB5_Gavle_Baltic_Spring,PB5_Gävle_Baltic_Spring,Gavle,Y,Y,,,,,6,,0.771428571428571,5.25544885601262,17.178326,60.68293
PB6_Gavle_Baltic_Summer,PB6_Gävle_Baltic_Summer,Gavle,Y,,,Y,,,3,,0.657142857142857,5.25544885601262,17.178326,60.68293
PB7_Gavle_Baltic_Autumn,PB7_Gävle_Baltic_Autumn,Gavle,Y,,Y,,,,3,,0.260869565217391,5.25544885601262,17.178326,60.68293
G_Gamleby_Baltic_Spring,G_Gamleby_Baltic_Spring,GGamleby,Y,Y,,,,,7,,0.901960784313725,6.05429671192613,16.45,57.833333
HGS9_Greenland_Atlantic_Spring,,Greenland,N,Y,,,,,35,eLife says this is summer,0,9.05971145629883,-53.789062,66.089364
PB1_Hastskor_Baltic_Spring,PB1_Hästskär_Baltic_Spring,Hastskar,Y,Y,,,,,6,,1,5.14975823413207,17.739702,60.532414
H_Fehmarn_Baltic_Autumn,H_Fehmarn_Baltic_Autumn,HFehmarn,Y,,Y,,,,12,,0.070175438596491,6.62759204603484,11.132927,54.470054
PB4_Hudiksvall_Baltic_Spring,PB4_Hudiksvall_Baltic_Spring,Hudiksvall,Y,Y,,,,,6,,0.553191489361702,5.70358352742548,17.107401,61.727391
PB2_Iceland_Atlantic_Spring,PB2_Iceland_Atlantic_Spring,Iceland,Y,Y,,,,,35,,0,9.05971145629883,-12.966667,65.816667
