,pop,code,name,rho,spring,autumn,summer,winter,unknown,Salinity,Notes,secchi,lat,lon,F261Y,I213T
1,A_Kalix_Baltic_Spring,A_Kalix_Baltic_Spring,AKalix,Y,Y,,,,,3,,4.462737132,65.87,22.72,1,0.375
2,B_Vaxholm_Baltic_Spring,B_Vaxholm_Baltic_Spring,BVaxholm,Y,Y,,,,,6,,5.914504198,59.403297,18.32638,0.805555556,0.575
3,G_Gamleby_Baltic_Spring,G_Gamleby_Baltic_Spring,GGamleby,Y,Y,,,,,7,,6.054296712,57.833333,16.45,0.901960784,0.492063492
4,HGS11_RingkobingFjord_Spring,HGS11_RingkobingFjord_NorthSea_Spring,RingkobingFjord,Y,Y,,,,,35,,9.059711456,55.997827,8.204706,0.023255814,0
5,HGS12_BornholmBasin_Baltic_Autumn,HGS12_BornholmBasin_Baltic_Autumn,Bornholm,Y,,Y,,,,3,,6.614085532,55.227033,14.93829,0.05,0
6,HGS15_NSSH_Atlantic_Spring,HGS15_NSSH_Atlantic_Spring,NSSH_Norway,Y,Y,,,,,35,,9.059711456,67.47,9.47,0,0
7,HGS1_Riga_Baltic_Spring,HGS1_Riga_Baltic_Spring,Riga,Y,Y,,,,,3,,3.483357511,58.29,24.37,0.780821918,0.380952381
8,HGS2_Riga_Baltic_Spring,HGS2_Riga_Baltic_Spring,Riga,Y,Y,,,,,3,,3.483357511,58.29,24.37,1,0.411764706
9,HGS3_Riga_Baltic_Autumn,HGS3_Riga_Baltic_Autumn,Riga,Y,,Y,,,,3,,3.483357511,58.28,23.16,0.404255319,0.166666667
10,HGS4_Riga_Baltic_Autumn,HGS4_Riga_Baltic_Autumn,Riga,Y,,Y,,,,3,,3.483357511,58.28,23.16,0.321428571,0.176470588
11,HGS5_Schlei_Baltic_Autumn,HGS5_Schleich_Baltic_Autumn,Schleich,Y,,Y,,,,35,,6.806119662,54.595976,9.852501,0,0
12,HGS6_Schlei_Baltic_Spring,HGS5_Schleich_Baltic_Spring,Schleich,Y,Y,,,,,35,,6.806119662,54.595976,9.852501,0.041666667,0
13,HGS71_Rugen_Baltic_Spring,HGS71_Rugen_Baltic_Spring,Rugen,Y,Y,,,,,3,,4.535703786,54.31,13.48,0.111111111,0
14,HGS72_Rugen_Baltic_Spring,HGS72_Rugen_Baltic_Spring,Rugen,Y,Y,,,,,3,,4.535703786,54.31,13.48,0.063829787,0
15,HGS8_KattegatNorth_Atlantic_Spring,HGS8_KattegatNorth_Atlantic_Spring,Kattegat,Y,Y,,,,,35,,8.677869841,57.716667,11.7,0,0
16,H_Fehmarn_Baltic_Autumn,H_Fehmarn_Baltic_Autumn,HFehmarn,Y,,Y,,,,12,,6.627592046,54.470054,11.132927,0.070175439,0
17,J_Träslövsläge_Kattegat_Spring,J_Traslovslage_Baltic_Spring,JTraslovslage,,Y,,,,,20,,8.426357127,57.05,12.183333,0.071428571,0.09375
