"pop","code","name","rho","spring","autumn","summer","winter","unknown","Notes","secchi","lat","lon","F261Y","I213T","Salinity","num_pop","Absorbance_412nm"
"A_Kalix_Baltic_Spring","A_Kalix_Baltic_Spring","AKalix","Y","Y","","",NA,NA,NA,4.462737132,65.87,22.72,1,0.375,5.43393623884087,36,0.984745930850174
"B_Vaxholm_Baltic_Spring","B_Vaxholm_Baltic_Spring","BVaxholm","Y","Y","","",NA,NA,NA,5.914504198,59.403297,18.32638,0.805555556,0.575,6.13758986335399,34,0.988829865298591
"G_Gamleby_Baltic_Spring","G_Gamleby_Baltic_Spring","GGamleby","Y","Y","","",NA,NA,NA,6.054296712,57.833333,16.45,0.901960784,0.492063492,6.6866981854769,35,0.916922550681225
"HGS11_RingkobingFjord_Spring","HGS11_RingkobingFjord_NorthSea_Spring","RingkobingFjord","Y","Y","","",NA,NA,NA,9.059711456,55.997827,8.204706,0.023255814,0,32.0156937121218,17,0.611440837028481
"HGS12_BornholmBasin_Baltic_Autumn","HGS12_BornholmBasin_Baltic_Autumn","Bornholm","Y","","Y","",NA,NA,NA,6.614085532,55.227033,14.93829,0.05,0,8.84053488845985,19,0.691906112645818
"HGS15_NSSH_Atlantic_Spring","HGS15_NSSH_Atlantic_Spring","NSSH_Norway","Y","Y","","",NA,NA,NA,9.059711456,67.47,9.47,0,0,34.6082984833062,1,0.185577851214972
"HGS1_Riga_Baltic_Spring","HGS1_Riga_Baltic_Spring","Riga","Y","Y","","",NA,NA,NA,3.483357511,58.29,24.37,0.780821918,0.380952381,5.970292596745,33,1
"HGS2_Riga_Baltic_Spring","HGS2_Riga_Baltic_Spring","Riga","Y","Y","","",NA,NA,NA,3.483357511,58.29,24.37,1,0.411764706,5.970292596745,37,1
"HGS3_Riga_Baltic_Autumn","HGS3_Riga_Baltic_Autumn","Riga","Y","","Y","",NA,NA,NA,3.483357511,58.28,23.16,0.404255319,0.166666667,6.27834834176239,26,0.999190283449073
"HGS4_Riga_Baltic_Autumn","HGS4_Riga_Baltic_Autumn","Riga","Y","","Y","",NA,NA,NA,3.483357511,58.28,23.16,0.321428571,0.176470588,6.27834834176239,25,0.999190283449073
"HGS5_Schlei_Baltic_Autumn","HGS5_Schleich_Baltic_Autumn","Schleich","Y","","Y","",NA,NA,NA,6.806119662,54.595976,9.852501,0,0,25.3065431973004,2,0.842148631581572
"HGS6_Schlei_Baltic_Spring","HGS5_Schleich_Baltic_Spring","Schleich","Y","Y","","",NA,NA,NA,6.806119662,54.595976,9.852501,0.041666667,0,25.3065431973004,18,0.842148631581572
"HGS71_Rugen_Baltic_Spring","HGS71_Rugen_Baltic_Spring","Rugen","Y","Y","","",NA,NA,NA,4.535703786,54.31,13.48,0.111111111,0,11.1651993726218,23,0.825788134820891
"HGS72_Rugen_Baltic_Spring","HGS72_Rugen_Baltic_Spring","Rugen","Y","Y","","",NA,NA,NA,4.535703786,54.31,13.48,0.063829787,0,11.1651993726218,20,0.825788134820891
"HGS8_KattegatNorth_Atlantic_Spring","HGS8_KattegatNorth_Atlantic_Spring","Kattegat","Y","Y","","",NA,NA,NA,8.677869841,57.716667,11.7,0,0,30.7022281069008,3,0.625274291705518
